date,value
2026-02-02,-3.69
2026-02-03,-1.83
2026-02-04,-1.81
2026-02-05,-2.47
2026-02-06,-1.64
2026-02-09,-0.36
2026-02-10,1.28
2026-02-12,1.61
2026-02-13,0.11
2026-02-16,0.31
2026-02-17,-0.36
2026-02-18,0.06
2026-02-19,0.36
2026-02-20,-0.89
2026-02-24,-1.31
2026-02-25,-0.89
2026-02-26,0.28
2026-02-27,1.44
2026-03-02,0.33
2026-03-03,-3.17
2026-03-04,-6.08
2026-03-05,-4.42
2026-03-06,-3.97
2026-03-09,-6.86
2026-03-10,-5.06
2026-03-11,-3.56
2026-03-12,-4.56
2026-03-13,-5.08
2026-03-16,-5.25
2026-03-17,-5.67
2026-03-18,-3.61
2026-03-19,-5.83
2026-03-23,-9.19
2026-03-24,-8.11
2026-03-25,-6.11
2026-03-26,-6.47
2026-03-27,-6.94
2026-03-30,-8.5
2026-03-31,-9.42
2026-04-01,-6.36
2026-04-02,-6.94
2026-04-03,-6.36
2026-04-06,-5.94
2026-04-07,-5.64
2026-04-08,-2.69
2026-04-09,-3.11
2026-04-10,-3.11
2026-04-13,-3.14
2026-04-14,-1.86
2026-04-15,-1.81
2026-04-16,-0.83
2026-04-17,-1.83
2026-04-20,-1.89
2026-04-21,-1.47
2026-04-22,-1.47
2026-04-23,-2.31
2026-04-24,-2.89
2026-04-27,-2.75
2026-04-28,-2.31
2026-04-30,-3.31
2026-05-01,-3.36
2026-05-07,-0.89
2026-05-08,-0.33
2026-05-11,-0.56
2026-05-12,-0.83
2026-05-13,-0.44
2026-05-14,-2.36
2026-05-15,-3.83
2026-05-18,-4.08
2026-05-19,-4.47
2026-05-20,-5.64
2026-05-21,-4.22
2026-05-22,-2.56
2026-05-25,-0.44
2026-05-26,-0.64
2026-05-27,-2.03
2026-05-28,-2.75
2026-05-29,-1.86
2026-06-01,-1.58
2026-06-02,-1.42
2026-06-03,-1.0
2026-06-04,-1.86
2026-06-05,-2.03
2026-06-08,-4.36
2026-06-09,-4.03
2026-06-10,-5.83
2026-06-11,-6.25
2026-06-12,-4.58
2026-06-15,-1.56
2026-06-16,-0.39
2026-06-17,0.42
2026-06-18,0.89
2026-06-19,1.92
2026-06-22,2.83
2026-06-23,-1.25
2026-06-24,-2.78
2026-06-25,-0.81
2026-06-26,-2.97
2026-06-29,-3.86
2026-06-30,-3.53
2026-07-01,-3.5
2026-07-02,-5.0
2026-07-03,-3.67
2026-07-06,-3.06
2026-07-07,-5.19
2026-07-08,-6.81
2026-07-09,-6.17
2026-07-10,-5.0
2026-07-16,-7.302
