date,value
2026-07-02,-3.423
2026-07-03,-3.714
2026-07-04,-5.492
2026-07-06,-3.183
2026-07-07,-3.183
2026-07-08,-2.922
2026-07-09,-5.87
2026-07-10,-7.215
2026-07-13,-5.868
2026-07-15,-7.006
2026-07-16,-7.302
2026-07-17,-10.914
2026-07-21,-7.544
2026-07-22,-6.767
2026-07-24,-8.472
2026-07-27,-7.964
2026-07-28,-11.542
2026-07-29,-12.991
2026-07-30,-12.717
2026-07-31,-9.134
2026-08-04,-7.647
2026-08-05,-4.955
2026-08-06,-6.467
2026-08-07,-6.748
2026-08-10,-6.15
2026-08-12,-4.95
2026-08-14,-3.066
2026-08-17,-1.248
