date,value
2025-11-07,3610509449.0
2025-11-14,3625683116.0
2025-11-21,3459094736.0
2025-11-28,3456852118.0
2025-12-05,3552530187.0
2025-12-12,3506675296.0
2025-12-19,3540948265.0
2025-12-26,3452851358.0
2026-01-09,3478231612.0
2026-01-16,3521343577.0
2026-01-23,3636433706.0
2026-01-30,3726892318.0
2026-02-06,3675274683.0
2026-02-13,3632630403.0
2026-02-20,3731217661.0
2026-02-27,3653485383.0
2026-03-06,3683547106.0
2026-03-13,3739036363.0
2026-03-20,3771998713.0
2026-03-27,3542748551.0
2026-04-03,3584029653.0
2026-04-10,3620622021.0
2026-04-17,3620648732.0
2026-04-24,3801202347.0
2026-05-01,3794802242.0
2026-05-15,3796775217.0
2026-05-22,3754115800.0
2026-05-29,3852139938.0
2026-06-05,3918843550.0
2026-06-12,3810902383.0
2026-06-19,3913217883.0
2026-06-26,3938090538.0
